category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2020 - 2021 (%) ,2000 - 2021 (%/year) 
Poland,354.4498502,353.8404762,346.1951579,345.9477074,338.5675166,339.8009156,354.4889479,343.8705702,317.8358602,309.6763005,296.4308853,295.7998349,289.1579975,301.441434,303.9417359,305.1408819,317.9632421,316.0044282,312.7606029,301.0442016,319.8937757,314.8689579,308.8993459,305.6981059,292.5004433,296.6187105,307.2546202,319.9428356,318.9106094,301.6199456,286.1889535,307.7037997,7.517706719,0.177889185
Portugal,40.17571633,41.73926619,45.62173237,44.38424034,45.07713546,49.32429727,47.37399643,50.02329332,54.41000489,61.33283895,60.75072393,60.41618686,64.45637875,59.97554414,61.26765796,64.3463327,58.94400939,56.5739081,54.63719897,54.12820831,48.77279899,48.14907834,46.74723232,45.3690473,44.45578086,48.53585816,47.90892269,52.25960189,48.3942934,43.75633884,38.10373857,37.6187548,-1.272798406,-2.256421244
Romania,161.8609238,134.7849392,123.5869254,118.3586436,113.3374555,116.7878301,121.0938464,112.1974104,97.75431221,84.93276446,87.20558137,92.59574788,93.12556307,96.82840741,95.8985018,92.21822255,96.09514019,93.4438697,92.24177559,78.42876514,75.29094588,82.29494092,79.1991388,69.60633477,69.14446279,69.40386365,67.81783148,71.05281559,71.62731345,70.08118909,65.64392976,69.07787808,5.231174203,-1.103550469
Spain,206.9000592,216.0802878,227.1214032,212.6975643,221.5018208,233.4166644,223.4531682,242.6129934,250.9550057,272.375165,287.9529123,288.7453164,306.330187,313.9802831,329.0573454,342.7425886,335.7476087,345.5699352,318.174527,282.4501963,269.3682546,272.2022919,268.125734,242.0184216,240.6041941,256.3105498,248.1541006,263.8865694,259.0617646,240.1570392,200.3734518,214.3959359,6.998174638,-1.394812013
Sweden,52.7886933,52.94072935,53.48898806,52.76655039,55.53542123,55.33622528,60.74360203,55.25031199,56.18100844,54.53451871,51.29205408,52.31862798,53.6019224,54.94821711,53.32677475,50.52870407,51.61182575,49.09700468,48.14800165,44.10714312,49.24034642,45.10108389,42.19400521,40.66015164,39.32531553,39.01070859,39.07548133,38.96855583,36.36054832,35.66979737,32.44574848,32.91488476,1.445909894,-2.090277132
United Kingdom,556.1935861,564.0897347,557.6096783,541.384342,532.9403265,523.5419469,544.6954655,519.8442569,526.0023801,523.1433035,531.6347208,544.1133885,529.0546544,543.4707633,543.5865231,542.3363478,543.2907518,532.3281294,516.3208791,468.9845695,485.2402315,446.1350097,467.814232,455.1812676,414.5840828,402.471685,380.4812212,366.8726793,360.541081,348.2254809,301.1243516,321.0729912,6.624718168,-2.372768638
Norway,27.97476552,26.48112674,29.35592277,31.28535595,32.80104336,32.24620715,33.12453092,34.86914194,36.52499739,37.8563588,33.14418381,34.55660394,34.24453862,37.01732004,37.3956305,35.7268404,37.47577876,38.19427746,37.4919691,37.56506923,40.74847792,39.53675252,39.1985774,39.88703328,40.19463907,40.95984578,39.87326818,39.84083602,39.51490325,38.59880837,36.78304434,37.77774762,2.704244029,0.625054848
Turkey,135.7645371,136.1597567,142.1623815,147.9543262,146.2629446,160.3711452,176.3266233,185.1762579,185.9779884,184.3831656,205.4942475,186.1536301,196.3813953,211.1641627,214.2278811,221.9228348,247.5423074,271.0615575,269.5841827,269.0325546,275.5820483,296.4325956,308.1896909,296.1454273,319.0248554,331.0233751,351.4137564,391.6515581,388.546325,379.6514732,378.5528431,422.3341283,11.56543557,3.489890871
CIS,3493.773147,3450.753568,3134.335567,2837.155281,2489.907402,2395.657721,2283.756932,2153.79712,2137.271287,2170.250452,2195.909238,2189.993016,2187.442225,2259.571313,2268.562137,2284.000895,2371.066472,2369.012738,2417.738943,2219.340947,2382.097657,2485.573425,2456.421015,2417.145039,2306.17367,2239.851475,2243.277429,2289.83413,2385.624417,2404.331483,2322.966346,2525.64204,8.724865673,0.668410202
Kazakhstan,236.2823415,243.0831892,249.1483003,212.4617534,192.1997884,167.5855305,146.1789101,123.2115094,125.7620326,113.0328656,117.4341415,113.1062728,123.2559694,139.19473,150.1743811,160.9619941,181.729275,193.3563837,225.1931956,199.2651305,217.1546893,231.7584056,234.1557142,251.1694357,202.7847144,176.1835184,191.3427492,203.6600591,205.0621891,203.0724106,199.5610507,213.2283632,6.848687384,2.88113402
Russia,2189.086152,2189.865781,2017.213331,1848.850021,1629.321909,1582.822852,1564.712208,1471.880144,1454.910403,1502.131255,1521.661743,1528.098907,1511.18849,1551.72239,1549.918136,1547.782117,1609.006212,1589.060546,1604.294102,1506.571435,1609.771446,1674.039819,1653.349617,1602.919917,1584.830806,1590.936672,1570.887551,1614.985682,1688.739595,1716.520861,1638.594404,1794.756498,9.530246958,0.789127648
Ukraine,692.0456124,656.4120427,565.9573797,503.5671922,416.7533034,415.7476011,350.7898554,335.0932524,317.8593871,315.0949535,308.988412,302.6433942,301.6752576,316.397961,306.2758472,316.4159481,309.9978985,315.1381735,305.4042904,257.3809587,276.4438601,290.5550898,284.9343575,273.8452577,230.846459,191.4752569,192.2506029,177.0684951,187.6261879,174.5154846,160.7646413,156.4818814,-2.663993679,-3.187906248
Uzbekistan,119.2441322,120.0706752,111.5328727,111.9978294,108.8319733,95.43751513,96.52595198,97.91103586,113.215137,113.7895214,120.5192632,121.0961559,123.9307645,116.5032328,119.4219292,112.5662163,120.3116949,116.629659,121.5800281,110.9099925,120.2333241,123.1181302,107.3547139,106.6196934,99.75128686,94.11463737,100.1971861,104.7690455,107.8152539,111.9470386,126.1080953,136.2054427,8.006898667,0.584342343
America,6148.048041,6113.241345,6220.478583,6374.0765,6518.035114,6605.588359,6854.078844,7198.914455,7279.883282,7326.974876,7551.282511,7533.482731,7403.407506,7506.891683,7636.286777,7702.698919,7632.081031,7787.141647,7617.108409,7165.788103,7514.449945,7380.821685,7247.384731,7401.621228,7451.713456,7297.169507,7169.933877,7097.614471,7171.140826,7047.499459,6269.202701,6636.934202,5.865682109,-0.612721243
North America,5296.22785,5236.476776,5327.069791,5450.564147,5547.474185,5610.839858,5793.982224,6080.712344,6118.222262,6162.974777,6347.389031,6319.851829,6181.585122,6260.793845,6333.322297,6358.885595,6246.216391,6363.806,6161.069107,5741.701884,5992.117015,5796.572828,5608.858662,5720.45626,5763.611134,5617.250635,5521.468063,5467.365674,5590.797292,5481.094656,4889.054505,5177.919167,5.90839521,-0.965029046
Canada,429.7678614,422.8058201,435.5065882,435.1844872,451.6436093,461.0403917,476.2584634,492.9335428,497.8087161,509.1143888,529.7660345,523.5531429,530.3412261,551.8181135,545.1841302,555.3334771,548.1602486,579.6840143,558.0361503,530.8087073,546.2587167,558.5951685,559.9283984,567.7942593,569.8153174,569.941604,566.865695,576.2852987,589.3327539,589.1790523,527.730236,546.2130676,3.502325696,0.14569493
United States,4866.459988,4813.670956,4891.563202,5015.37966,5095.830576,5149.799467,5317.72376,5587.778801,5620.413546,5653.860388,5817.622996,5796.298686,5651.243896,5708.975732,5788.138167,5803.552118,5698.056142,5784.121985,5603.032957,5210.893177,5445.858298,5237.977659,5048.930264,5152.662001,5193.795817,5047.309031,4954.602368,4891.080375,5001.464538,4891.915603,4361.324269,4631.706099,6.199535138,-1.079683739
